dataset	depth	n	median k-mer coverage	min-cove (-x 5)	min-frac (-z 0.75)	min-cont (-c 0.25)	reported by defaults
ecoli	0.5000	17	1.0000	0.0000	100.0000	100.0000	0.0000
ecoli	1.0000	17	1.4545	0.0000	100.0000	100.0000	0.0000
ecoli	2.0000	17	1.9948	0.0000	100.0000	100.0000	0.0000
ecoli	5.0000	17	3.9329	0.0000	100.0000	100.0000	0.0000
ecoli	10.0000	16	7.5733	100.0000	100.0000	100.0000	100.0000
simulation	1.0000	55	1.4390	0.0000	96.3636	89.0909	0.0000
simulation	2.0000	56	1.9689	0.0000	92.8571	94.6429	0.0000
simulation	4.0000	56	3.2917	0.0000	92.8571	94.6429	0.0000
simulation	8.0000	56	6.4159	100.0000	94.6429	96.4286	91.0714
